,irace_1,irace_2,irace_3,irace_4,default,Min_Col
0,22.406943478740345,12.694903222447062,120.53933873432744,22.46700703956645,16.663976178792545,irace_2
1,81.59889814894407,87.15707744047656,175.4758739794664,82.10769053697973,98.4098416667178,irace_1
2,1.0187110853622734,0.7046267623795239,1.0147514544875398,1.014849829181486,0.7388168470871084,irace_2
3,2271.008260648232,2531.3836295565816,116472.88015458992,2267.2261651203225,1856.316343496668,default
4,5.374355190033626,4.597474614326515,9.577376071947784,5.381780648144691,5.210568894329786,irace_2
5,137.26114985990154,143.1032208258859,173.97608325922616,137.425868743146,113.26042571460846,default
6,1.0,0.918328396854141,1.0,1.0,1.0,irace_2
7,1180.3012515265714,151.3675845396685,1528.561869969877,1186.70192779328,420.8690661280356,irace_2
8,10000.0,2970.0838127957445,10000.0,10000.0,6633.426485552479,irace_2
9,12.406967615901037,7.090103401851519,59.268791293805705,12.441775854961524,9.93318618649334,irace_2
10,0.0169270276783408,0.4431332238496788,0.7183312698462174,0.0581765176665235,0.0506119856513803,irace_1
11,0.0183156388887341,1.0,1.0,0.1353352832366127,0.1353352832366127,irace_1
12,6687534.685521223,7069856.221452436,59109646.73797491,6689044.95569066,9146241.292914756,irace_1
13,11542104.80533841,7016052.129136636,58439872.94261471,11551561.346229902,9044047.856442949,irace_2
14,28308.2088736454,364258.9378038253,2269821.686011198,28009.23507142547,97374.02220743324,irace_4
15,2845105.03060232,370710.4520266508,335099.60729401815,2803223.353381985,233294.4218966804,default
16,22026.46579480672,162754.79141900392,1202604.2841647768,22026.46579480672,59874.14171519782,irace_1
17,2657130.347614021,51.97387251784962,57383.36027349242,2610625.4146288,149953.72403004544,irace_2
18,8273393.615647721,7696802.41121595,276153669.0497433,8265465.149292631,9317024.30167936,irace_2
19,1.7316788453398182,1.0981004418162852,1.0,1.7208021497047052,0.4382857344769863,default
20,1.0,0.918328396854141,1.0,1.0,1.0,irace_2
21,1.0,0.5779462434419343,1.0,1.0,1.0,irace_2
22,22.34043666690072,11.505608199157065,120.20557777124276,22.359173352906883,17.726517553496244,irace_2
23,105.41069977629049,78.75947045070913,140.2901732238796,106.06655163715897,84.6625290558415,irace_2
24,0.8417664724377694,0.8123275253491535,1.03280211261787,0.8411366709759582,0.6740303780305209,default
